epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.10412,0.53451,2.6174,1.0025,0.00333,1,0.67549,0.62562,0.24921,2.8351,0.7812,8e-05,8e-05,8e-05
2,6.71079,0.53023,2.15252,1.01271,0.00333,1,0.995,0.94396,0.31809,2.62491,0.7927,0.000178218,0.000178218,0.000178218
3,8.34164,0.56528,1.16156,1.00285,1,0.93764,0.995,0.95137,0.32892,2.24963,0.78351,0.000274456,0.000274456,0.000274456
4,10.0019,0.52354,1.02797,0.9496,1,0.8586,0.995,0.9436,0.35724,2.34406,0.80955,0.000368714,0.000368714,0.000368714
5,11.6591,0.49899,0.9853,0.93692,1,0.84224,0.98351,0.89715,0.4287,2.41891,0.83306,0.000460992,0.000460992,0.000460992
6,13.3218,0.55586,0.99898,0.96782,1,0.80527,0.99411,0.89882,0.40567,2.35435,0.82085,0.00055129,0.00055129,0.00055129
7,14.9251,0.51866,0.84955,0.93993,0.89189,0.67442,0.85111,0.69405,0.72118,2.31463,1.0598,0.000639608,0.000639608,0.000639608
8,16.5368,0.56667,0.94212,0.97473,0.35004,0.2093,0.18187,0.06679,2.05663,4.00352,2.55539,0.000725946,0.000725946,0.000725946
9,18.1498,0.59596,0.86413,0.98997,0.67965,0.88372,0.7502,0.62104,0.57654,2.10854,0.90733,0.000810304,0.000810304,0.000810304
10,19.7665,0.58221,0.8074,0.98514,0.97689,0.98327,0.99455,0.83868,0.62282,1.20593,1.01741,0.000892682,0.000892682,0.000892682
11,21.3271,0.59183,0.82955,0.96639,0.96672,1,0.99295,0.69344,0.79451,1.24067,1.07054,0.00097308,0.00097308,0.00097308
12,22.9205,0.5802,0.78983,0.96998,0.89532,0.93023,0.92176,0.76786,0.68256,1.3635,1.04004,0.0010515,0.0010515,0.0010515
13,24.4844,0.53004,0.77177,0.96291,0.69679,0.74827,0.79546,0.60931,0.84518,1.82965,1.2473,0.00112794,0.00112794,0.00112794
14,26.0544,0.59618,0.76005,0.99144,0.59989,0.81395,0.74449,0.59952,0.70212,1.9711,1.06942,0.00120239,0.00120239,0.00120239
15,27.6243,0.51628,0.69526,0.94212,0.83338,0.95349,0.95123,0.81908,0.54423,1.35211,0.90007,0.00127487,0.00127487,0.00127487
16,29.2109,0.53366,0.71002,0.95588,1,0.94881,0.99002,0.84083,0.5449,1.04153,0.88292,0.00134537,0.00134537,0.00134537
17,30.7707,0.55974,0.72604,0.9709,0.93243,0.96291,0.98833,0.83528,0.54986,0.94601,0.90826,0.00141389,0.00141389,0.00141389
18,32.3989,0.53539,0.66357,0.95407,0.88504,0.83721,0.9315,0.82924,0.48436,0.92795,0.84909,0.00148043,0.00148043,0.00148043
19,33.9911,0.57816,0.68944,0.96461,0.95305,0.94432,0.98456,0.84256,0.52821,0.83125,0.87816,0.00154498,0.00154498,0.00154498
20,35.55,0.56447,0.65218,0.97292,0.92695,1,0.99,0.83311,0.55889,0.86546,0.89166,0.00160756,0.00160756,0.00160756
21,37.1163,0.56977,0.63544,0.96948,0.87725,0.90698,0.96848,0.77639,0.59192,1.62717,0.98354,0.001604,0.001604,0.001604
22,38.652,0.57863,0.613,0.98822,0.99511,1,0.995,0.87804,0.52095,0.75862,0.87499,0.0015842,0.0015842,0.0015842
