epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,230.381,0.42065,0.41997,0.92698,0.99794,1,0.995,0.995,0.186,0.28607,0.80366,0.0014192,0.0014192,0.0014192
46,235.805,0.34954,0.3644,0.87045,0.99792,1,0.995,0.995,0.21493,0.28597,0.80763,0.001406,0.001406,0.001406
47,241.174,0.34481,0.37938,0.85793,0.99796,1,0.995,0.995,0.2059,0.28637,0.81376,0.0013928,0.0013928,0.0013928
48,246.471,0.29788,0.35965,0.83402,0.99789,1,0.995,0.995,0.20244,0.28049,0.8123,0.0013796,0.0013796,0.0013796
49,251.878,0.3887,0.37031,0.887,0.99795,1,0.995,0.995,0.20609,0.28719,0.80786,0.0013664,0.0013664,0.0013664
50,257.24,0.37143,0.36537,0.89128,0.99793,1,0.995,0.995,0.19168,0.29022,0.80377,0.0013532,0.0013532,0.0013532
51,262.689,0.36203,0.3616,0.90546,0.99786,1,0.995,0.995,0.20349,0.28644,0.80649,0.00134,0.00134,0.00134
52,268.08,0.39833,0.3749,0.91679,0.99781,1,0.995,0.995,0.22047,0.28999,0.81387,0.0013268,0.0013268,0.0013268
53,273.462,0.4339,0.39232,0.9179,0.99781,1,0.995,0.995,0.19987,0.28624,0.80616,0.0013136,0.0013136,0.0013136
54,278.814,0.35373,0.37845,0.87003,0.99788,1,0.995,0.98974,0.18961,0.27155,0.80237,0.0013004,0.0013004,0.0013004
55,284.199,0.38466,0.37226,0.88882,0.99795,1,0.995,0.995,0.22991,0.25846,0.81402,0.0012872,0.0012872,0.0012872
56,289.576,0.39427,0.36115,0.91813,0.99793,1,0.995,0.995,0.2095,0.25677,0.80996,0.001274,0.001274,0.001274
57,294.968,0.39207,0.36307,0.9066,0.99779,1,0.995,0.9759,0.19523,0.28032,0.80827,0.0012608,0.0012608,0.0012608
58,300.29,0.36326,0.35311,0.86082,0.99762,1,0.995,0.98032,0.2094,0.2921,0.81092,0.0012476,0.0012476,0.0012476
59,305.67,0.37836,0.34676,0.89114,0.99754,1,0.995,0.995,0.20163,0.27399,0.81081,0.0012344,0.0012344,0.0012344
60,311.086,0.36406,0.34969,0.86113,0.99773,1,0.995,0.995,0.1855,0.26791,0.80699,0.0012212,0.0012212,0.0012212
61,316.562,0.39008,0.35409,0.90205,0.99793,1,0.995,0.995,0.19075,0.23118,0.80837,0.001208,0.001208,0.001208
62,321.987,0.35269,0.33672,0.88431,0.99795,1,0.995,0.995,0.22107,0.23909,0.81558,0.0011948,0.0011948,0.0011948
63,327.397,0.34428,0.36228,0.866,0.99801,1,0.995,0.995,0.22749,0.23584,0.8142,0.0011816,0.0011816,0.0011816
64,332.739,0.35615,0.33817,0.86198,0.99799,1,0.995,0.98735,0.21454,0.21341,0.8127,0.0011684,0.0011684,0.0011684
65,338.129,0.37264,0.34883,0.89504,0.99796,1,0.995,0.995,0.20802,0.22694,0.81324,0.0011552,0.0011552,0.0011552
66,343.567,0.37387,0.34688,0.88929,0.99795,1,0.995,0.995,0.20115,0.22989,0.8099,0.001142,0.001142,0.001142
67,348.971,0.42282,0.37094,0.92485,0.99786,1,0.995,0.995,0.17964,0.24275,0.80615,0.0011288,0.0011288,0.0011288
68,354.347,0.34785,0.32878,0.88117,0.99773,1,0.995,0.995,0.17973,0.25706,0.80622,0.0011156,0.0011156,0.0011156
69,359.783,0.33937,0.31323,0.87119,0.99749,1,0.995,0.995,0.17913,0.28418,0.80294,0.0011024,0.0011024,0.0011024
70,365.146,0.35193,0.32631,0.8903,0.99748,1,0.995,0.9883,0.19724,0.29195,0.80615,0.0010892,0.0010892,0.0010892
71,370.485,0.32129,0.32621,0.84082,0.99765,1,0.995,0.995,0.18209,0.26382,0.80677,0.001076,0.001076,0.001076
72,375.84,0.321,0.31374,0.87118,0.99782,1,0.995,0.99102,0.19579,0.22673,0.80857,0.0010628,0.0010628,0.0010628
73,381.232,0.34281,0.31796,0.87546,0.99799,1,0.995,0.99103,0.21274,0.24636,0.80956,0.0010496,0.0010496,0.0010496
74,386.576,0.31805,0.29477,0.85708,0.99801,1,0.995,0.99103,0.2033,0.24435,0.80952,0.0010364,0.0010364,0.0010364
75,391.935,0.35299,0.31583,0.87813,0.99795,1,0.995,0.995,0.17847,0.20716,0.80988,0.0010232,0.0010232,0.0010232
76,397.315,0.30784,0.31007,0.85777,0.99793,1,0.995,0.995,0.16467,0.2072,0.80752,0.00101,0.00101,0.00101
77,402.759,0.35279,0.32648,0.91346,0.99794,1,0.995,0.995,0.17983,0.19611,0.80703,0.0009968,0.0009968,0.0009968
78,408.13,0.34428,0.29904,0.86746,0.99791,1,0.995,0.995,0.18652,0.21358,0.80755,0.0009836,0.0009836,0.0009836
79,413.535,0.36553,0.31219,0.87849,0.99793,1,0.995,0.995,0.18547,0.21475,0.80833,0.0009704,0.0009704,0.0009704
80,418.895,0.33572,0.30179,0.87414,0.99788,1,0.995,0.995,0.17677,0.21734,0.80708,0.0009572,0.0009572,0.0009572
81,424.272,0.32367,0.30345,0.86082,0.99781,1,0.995,0.995,0.18956,0.21683,0.80769,0.000944,0.000944,0.000944
82,429.679,0.29504,0.28422,0.84601,0.99786,1,0.995,0.98735,0.20373,0.21299,0.81035,0.0009308,0.0009308,0.0009308
83,435.075,0.32566,0.29944,0.87609,0.99794,1,0.995,0.995,0.18727,0.18279,0.80682,0.0009176,0.0009176,0.0009176
84,440.433,0.29606,0.28182,0.85423,0.99794,1,0.995,0.995,0.17633,0.18257,0.806,0.0009044,0.0009044,0.0009044
85,445.902,0.3624,0.29609,0.91049,0.99794,1,0.995,0.995,0.17526,0.18865,0.80499,0.0008912,0.0008912,0.0008912
86,451.312,0.38301,0.30799,0.90654,0.99793,1,0.995,0.995,0.18159,0.19757,0.80493,0.000878,0.000878,0.000878
87,456.678,0.33845,0.28895,0.88814,0.99794,1,0.995,0.995,0.16149,0.18494,0.80277,0.0008648,0.0008648,0.0008648
88,462.094,0.28221,0.26527,0.85357,0.99793,1,0.995,0.995,0.16591,0.18713,0.80288,0.0008516,0.0008516,0.0008516
89,467.454,0.31035,0.29054,0.86944,0.99798,1,0.995,0.995,0.1492,0.17904,0.80253,0.0008384,0.0008384,0.0008384
90,472.857,0.2814,0.28383,0.85308,0.99795,1,0.995,0.99058,0.16811,0.17441,0.80673,0.0008252,0.0008252,0.0008252
91,478.377,0.354,0.32301,0.87276,0.99799,1,0.995,0.99091,0.16974,0.17139,0.80632,0.000812,0.000812,0.000812
92,483.701,0.31141,0.27379,0.86963,0.998,1,0.995,0.99092,0.17188,0.17045,0.8055,0.0007988,0.0007988,0.0007988
93,489.102,0.34982,0.30025,0.87473,0.99798,1,0.995,0.99108,0.17482,0.17631,0.8055,0.0007856,0.0007856,0.0007856
94,494.453,0.31536,0.29313,0.88374,0.99798,1,0.995,0.99109,0.18474,0.19471,0.80728,0.0007724,0.0007724,0.0007724
95,499.798,0.27082,0.27273,0.84291,0.99798,1,0.995,0.9911,0.19288,0.19279,0.80777,0.0007592,0.0007592,0.0007592
96,505.148,0.35483,0.31471,0.9002,0.99793,1,0.995,0.995,0.19454,0.18261,0.80678,0.000746,0.000746,0.000746
97,510.545,0.31798,0.27388,0.85315,0.99794,1,0.995,0.995,0.15994,0.16998,0.80425,0.0007328,0.0007328,0.0007328
98,515.905,0.2877,0.27605,0.83656,0.99794,1,0.995,0.995,0.16676,0.17219,0.80533,0.0007196,0.0007196,0.0007196
