epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7805,0.56698,2.14199,1.01817,1,0.36305,0.995,0.90545,0.40442,2.57501,0.84733,0.00018,0.00018,0.00018
2,54.0364,0.59938,1.24417,1.02245,1,0.8692,0.995,0.89005,0.46655,2.5061,0.87195,0.00036746,0.00036746,0.00036746
3,78.2605,0.71235,1.17159,1.07764,1,0.86923,0.98313,0.88204,0.47638,2.57265,0.88704,0.00054172,0.00054172,0.00054172
4,103.001,0.68057,1.05736,1.02425,0.97331,0.84825,0.96366,0.80595,0.62047,2.40703,1.05736,0.00070278,0.00070278,0.00070278
5,128.711,0.7001,1.0441,1.06216,0.97651,0.96707,0.99202,0.889,0.52904,2.43586,0.93807,0.00085064,0.00085064,0.00085064
6,155.791,0.67462,0.98692,1.00395,0.99215,1,0.995,0.87712,0.512,1.89407,0.88244,0.0009853,0.0009853,0.0009853
7,186.802,0.61937,0.88596,0.97505,0.72956,0.94114,0.83913,0.62273,0.76427,2.23598,0.98469,0.00110676,0.00110676,0.00110676
8,215.036,0.66339,0.89609,1.00645,0.90885,0.92757,0.95639,0.77436,0.63514,1.70385,1.02272,0.00121502,0.00121502,0.00121502
9,243.496,0.70907,0.86749,1.02647,0.91659,0.93023,0.9841,0.82687,0.61238,1.37604,0.92381,0.00131008,0.00131008,0.00131008
10,271.221,0.71536,0.84948,1.04061,0.75461,0.86047,0.83308,0.53857,0.74345,2.7035,1.02452,0.00139194,0.00139194,0.00139194
11,296.228,0.68781,0.82035,0.99248,0.95288,0.88372,0.97837,0.85132,0.50219,1.30538,0.90485,0.00134,0.00134,0.00134
12,322.166,0.66966,0.78944,0.99838,0.89285,0.90698,0.96799,0.82316,0.60972,1.53697,0.9656,0.001274,0.001274,0.001274
13,349.6,0.67013,0.78707,0.99765,0.94574,1,0.99091,0.85249,0.53656,1.41927,0.88241,0.001208,0.001208,0.001208
14,377.322,0.64488,0.70732,0.99016,0.97609,0.94947,0.99117,0.89688,0.50101,1.35877,0.90123,0.001142,0.001142,0.001142
15,404.694,0.62669,0.68035,0.98005,0.98064,1,0.995,0.89257,0.46767,1.21726,0.88174,0.001076,0.001076,0.001076
16,431.982,0.55594,0.62919,0.95195,0.9913,1,0.995,0.8923,0.46469,1.02577,0.87183,0.00101,0.00101,0.00101
17,458.612,0.61847,0.65037,0.96661,0.99644,1,0.995,0.89255,0.47858,0.85928,0.85347,0.000944,0.000944,0.000944
18,483.631,0.6257,0.6595,0.98573,0.99772,1,0.995,0.88247,0.49827,0.78704,0.83939,0.000878,0.000878,0.000878
19,508.713,0.63747,0.66642,0.98411,0.99846,1,0.995,0.90593,0.47687,0.73812,0.84783,0.000812,0.000812,0.000812
20,533.245,0.54822,0.65206,0.931,0.99856,1,0.995,0.90249,0.46926,0.6422,0.86534,0.000746,0.000746,0.000746
21,557.332,0.42683,0.67504,0.88167,0.97588,1,0.99364,0.90178,0.43602,0.66459,0.82421,0.00068,0.00068,0.00068
22,581.623,0.41886,0.6458,0.8564,0.99752,1,0.995,0.91876,0.39614,0.78807,0.80833,0.000614,0.000614,0.000614
23,606.07,0.40365,0.63872,0.8815,0.9979,1,0.995,0.92524,0.38505,0.62891,0.806,0.000548,0.000548,0.000548
24,630.049,0.38082,0.566,0.89257,0.99723,1,0.995,0.92082,0.3692,0.5677,0.80173,0.000482,0.000482,0.000482
25,653.984,0.36547,0.5612,0.8876,0.99733,1,0.995,0.91916,0.37688,0.55656,0.80615,0.000416,0.000416,0.000416
26,678.143,0.398,0.54702,0.85538,0.99829,1,0.995,0.90714,0.40341,0.56027,0.8146,0.00035,0.00035,0.00035
27,702.122,0.36925,0.54636,0.87107,0.9985,1,0.995,0.92501,0.37845,0.51664,0.80963,0.000284,0.000284,0.000284
28,725.218,0.34928,0.51518,0.86136,0.99873,1,0.995,0.94363,0.35068,0.48979,0.80273,0.000218,0.000218,0.000218
29,748.343,0.35108,0.49081,0.8268,0.99875,1,0.995,0.93908,0.35105,0.49527,0.80501,0.000152,0.000152,0.000152
30,771.418,0.34522,0.48542,0.83631,0.99873,1,0.995,0.94191,0.34654,0.48995,0.80329,8.6e-05,8.6e-05,8.6e-05
