epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,111.427,0.47317,0.57493,0.90759,0.99663,1,0.995,0.97135,0.2893,0.45905,0.76244,0.0014324,0.0014324,0.0014324
45,113.969,0.47448,0.60863,0.91064,0.99667,1,0.995,0.93987,0.28964,0.43182,0.76631,0.0014192,0.0014192,0.0014192
46,116.501,0.60608,0.64688,0.99396,0.99629,1,0.995,0.95933,0.27895,0.4563,0.7664,0.001406,0.001406,0.001406
47,119.025,0.44146,0.56906,0.90666,0.99629,1,0.995,0.95933,0.27895,0.4563,0.7664,0.0013928,0.0013928,0.0013928
48,121.55,0.49704,0.56627,0.93266,0.99606,1,0.995,0.97701,0.25604,0.47855,0.76574,0.0013796,0.0013796,0.0013796
49,124.047,0.47909,0.57776,0.90577,0.99624,1,0.995,0.96838,0.27028,0.46154,0.76918,0.0013664,0.0013664,0.0013664
50,126.552,0.45714,0.5345,0.91956,0.99636,1,0.995,0.96343,0.28561,0.47023,0.76884,0.0013532,0.0013532,0.0013532
51,129.056,0.42941,0.54225,0.89961,0.99628,1,0.995,0.94311,0.28505,0.44088,0.76962,0.00134,0.00134,0.00134
52,131.549,0.47703,0.54478,0.89795,0.99628,1,0.995,0.94311,0.28505,0.44088,0.76962,0.0013268,0.0013268,0.0013268
53,134.071,0.46383,0.50828,0.91247,0.99632,1,0.995,0.96954,0.25013,0.41253,0.76027,0.0013136,0.0013136,0.0013136
54,136.589,0.45186,0.53221,0.90225,0.99634,1,0.995,0.98009,0.25108,0.39659,0.75988,0.0013004,0.0013004,0.0013004
55,139.134,0.40175,0.50053,0.86252,0.99635,1,0.995,0.98152,0.25295,0.42369,0.76395,0.0012872,0.0012872,0.0012872
56,141.663,0.39071,0.46626,0.84425,0.99644,1,0.995,0.98109,0.24609,0.41257,0.76124,0.001274,0.001274,0.001274
57,144.19,0.49698,0.52278,0.94536,0.99644,1,0.995,0.98109,0.24609,0.41257,0.76124,0.0012608,0.0012608,0.0012608
58,146.716,0.47472,0.55408,0.91229,0.99651,1,0.995,0.98109,0.28522,0.40597,0.76969,0.0012476,0.0012476,0.0012476
59,149.263,0.44906,0.54554,0.89775,0.99659,1,0.995,0.97804,0.26895,0.40459,0.76725,0.0012344,0.0012344,0.0012344
60,151.806,0.47128,0.54525,0.93322,0.99669,1,0.995,0.97026,0.25272,0.39747,0.76235,0.0012212,0.0012212,0.0012212
61,154.348,0.42703,0.5214,0.90748,0.99674,1,0.995,0.97912,0.25947,0.37563,0.7629,0.001208,0.001208,0.001208
