epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,66.8246,0.53028,0.44411,0.95683,0.7739,1,0.97875,0.87216,0.47822,1.78258,0.85269,0.00191882,0.00191882,0.00191882
43,68.3566,0.56678,0.43269,0.97175,0.87571,1,0.9916,0.8981,0.45447,1.00974,0.8502,0.00191684,0.00191684,0.00191684
44,69.8973,0.52669,0.41166,0.94419,0.97225,1,0.99409,0.89986,0.45693,0.46145,0.83614,0.00191486,0.00191486,0.00191486
45,71.3938,0.54319,0.42335,0.97166,0.99643,1,0.995,0.89759,0.4382,0.36522,0.84156,0.00191288,0.00191288,0.00191288
46,72.8854,0.57548,0.42484,0.94578,0.99846,1,0.995,0.92605,0.37507,0.33569,0.79171,0.0019109,0.0019109,0.0019109
47,74.4118,0.60522,0.44795,0.95996,0.99821,1,0.995,0.91416,0.40645,0.3666,0.80496,0.00190892,0.00190892,0.00190892
48,75.9123,0.56906,0.42535,0.99539,0.99817,1,0.995,0.91305,0.39962,0.35819,0.80166,0.00190694,0.00190694,0.00190694
49,77.4017,0.50864,0.40468,0.95507,0.97677,1,0.99364,0.92412,0.36607,0.37236,0.80584,0.00190496,0.00190496,0.00190496
50,78.9156,0.53252,0.41946,0.9551,0.9986,1,0.995,0.93891,0.37367,0.32104,0.79132,0.00190298,0.00190298,0.00190298
51,80.3815,0.51941,0.42473,0.95042,0.99741,1,0.995,0.93369,0.38153,0.33636,0.78906,0.001901,0.001901,0.001901
52,81.8648,0.57243,0.4018,0.97566,0.94977,1,0.98876,0.91858,0.36221,0.40426,0.79208,0.00189902,0.00189902,0.00189902
53,83.3663,0.58584,0.40561,0.96575,0.95199,1,0.99156,0.8935,0.35499,0.37724,0.78231,0.00189704,0.00189704,0.00189704
54,84.8588,0.51284,0.38259,0.93161,0.95478,0.98204,0.99203,0.92478,0.37507,0.47772,0.79731,0.00189506,0.00189506,0.00189506
55,86.3541,0.54285,0.39996,0.96362,0.96967,1,0.995,0.92917,0.37398,0.48712,0.7976,0.00189308,0.00189308,0.00189308
56,87.8317,0.51435,0.39023,0.95845,0.95552,1,0.99455,0.94275,0.36873,0.34124,0.79804,0.0018911,0.0018911,0.0018911
57,89.3186,0.49911,0.40225,0.92423,0.97604,1,0.99455,0.9438,0.36373,0.29107,0.80601,0.00188912,0.00188912,0.00188912
58,90.8384,0.47637,0.37354,0.93367,0.99463,1,0.995,0.93278,0.36231,0.29012,0.79646,0.00188714,0.00188714,0.00188714
59,92.3832,0.49604,0.36943,0.93204,0.97884,1,0.995,0.90994,0.37864,0.33851,0.80458,0.00188516,0.00188516,0.00188516
60,93.9107,0.52683,0.39132,0.95298,0.99811,1,0.995,0.94135,0.3614,0.30955,0.79145,0.00188318,0.00188318,0.00188318
61,95.3965,0.54981,0.40442,0.96872,0.99863,1,0.995,0.96033,0.33073,0.27688,0.77516,0.0018812,0.0018812,0.0018812
62,96.9036,0.5279,0.37268,0.94206,0.86649,0.72093,0.79439,0.62156,0.78756,0.91112,1.0845,0.00187922,0.00187922,0.00187922
63,98.4089,0.48336,0.3815,0.91448,0.89159,0.76507,0.86266,0.70389,0.6253,0.81425,0.94445,0.00187724,0.00187724,0.00187724
64,99.9419,0.49022,0.34876,0.94744,0.96989,0.93023,0.97588,0.8706,0.46123,0.4684,0.84832,0.00187526,0.00187526,0.00187526
